"","Gene.Symbol","StrataNGSv3","xT","Match type.x","Approved symbol.x","Approved name.x","HGNC ID.x","Location.x","xO","TSO500","Match type.y","Approved symbol.y","Approved name.y","HGNC ID.y","Location.y","FoundationOne","Match type","Approved symbol","Approved name","HGNC ID","Location","MSK"
"280","CFTR",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","CHD1",NA,NA,"Approved symbol","CHD1","chromodomain helicase DNA binding protein 1","HGNC:1915","5q15-q21.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","CHD1L",NA,NA,"Approved symbol","CHD1L","chromodomain helicase DNA binding protein 1 like","HGNC:1916","1q21.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","CHD2",NA,"Yes","Approved symbol","CHD2","chromodomain helicase DNA binding protein 2","HGNC:1917","15q26.1","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","CHD3",NA,NA,"Approved symbol","CHD3","chromodomain helicase DNA binding protein 3","HGNC:1918","17p13.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","CHD4",NA,"Yes","Approved symbol","CHD4","chromodomain helicase DNA binding protein 4","HGNC:1919","12p13.31","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","CHD5",NA,NA,"Approved symbol","CHD5","chromodomain helicase DNA binding protein 5","HGNC:16816","1p36.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287","CHD6",NA,NA,"Approved symbol","CHD6","chromodomain helicase DNA binding protein 6","HGNC:19057","20q12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288","CHD7",NA,NA,"Approved symbol","CHD7","chromodomain helicase DNA binding protein 7","HGNC:20626","8q12.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","CHD9",NA,NA,"Approved symbol","CHD9","chromodomain helicase DNA binding protein 9","HGNC:25701","16q12.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","CHEK1","Yes","Yes","Approved symbol","CHEK1","checkpoint kinase 1","HGNC:1925","11q24.2","Yes","Yes","Approved symbol","CHEK1","checkpoint kinase 1","HGNC:1925","11q24.2","Yes","Approved symbol","CHEK1","checkpoint kinase 1","HGNC:1925","11q24.2","Yes"
"291","CHEK2","Yes","Yes","Approved symbol","CHEK2","checkpoint kinase 2","HGNC:16627","22q12.1","Yes","Yes","Approved symbol","CHEK2","checkpoint kinase 2","HGNC:16627","22q12.1","Yes","Approved symbol","CHEK2","checkpoint kinase 2","HGNC:16627","22q12.1","Yes"
"292","CHIC1",NA,NA,"Approved symbol","CHIC1","cysteine rich hydrophobic domain 1","HGNC:1934","Xq13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","CHIC2",NA,NA,"Approved symbol","CHIC2","cysteine rich hydrophobic domain 2","HGNC:1935","4q12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","CHUK",NA,NA,"Approved symbol","CHUK","component of inhibitor of nuclear factor kappa B kinase complex","HGNC:1974","10q24.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","CIC","Yes","Yes","Approved symbol","CIC","capicua transcriptional repressor","HGNC:14214","19q13.2","Yes","Yes","Approved symbol","CIC","capicua transcriptional repressor","HGNC:14214","19q13.2","Yes","Approved symbol","CIC","capicua transcriptional repressor","HGNC:14214","19q13.2","Yes"
"296","CIITA",NA,"Yes","Approved symbol","CIITA","class II major histocompatibility complex transactivator","HGNC:7067","16p13.13","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","CKS1B","Yes","Yes","Approved symbol","CKS1B","CDC28 protein kinase regulatory subunit 1B","HGNC:19083","1q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","CKS2",NA,NA,"Approved symbol","CKS2","CDC28 protein kinase regulatory subunit 2","HGNC:2000","9q22.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","CLIP1",NA,NA,"Approved symbol","CLIP1","CAP-Gly domain containing linker protein 1","HGNC:10461","12q24.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","CMPK1","Yes",NA,"Approved symbol","CMPK1","cytidine/uridine monophosphate kinase 1","HGNC:18170","1p33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","CNKSR1",NA,NA,"Approved symbol","CNKSR1","connector enhancer of kinase suppressor of Ras 1","HGNC:19700","1p36.11","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","CNOT3",NA,NA,"Approved symbol","CNOT3","CCR4-NOT transcription complex subunit 3","HGNC:7879","19q13.42","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","CNTFR",NA,NA,"Approved symbol","CNTFR","ciliary neurotrophic factor receptor","HGNC:2170","9p13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","COL1A1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","COL3A1",NA,NA,"Approved symbol","COL3A1","collagen type III alpha 1 chain","HGNC:2201","2q32.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","COMT",NA,NA,"Approved symbol","COMT","catechol-O-methyltransferase","HGNC:2228","22q11.21","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","COPS3",NA,NA,"Approved symbol","COPS3","COP9 signalosome subunit 3","HGNC:2239","17p11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","CRBN","Yes",NA,"Approved symbol","CRBN","cereblon","HGNC:30185","3p26.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","CREB1","Yes",NA,"Approved symbol","CREB1","cAMP responsive element binding protein 1","HGNC:2345","2q33.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","CREB3L1",NA,NA,"Approved symbol","CREB3L1","cAMP responsive element binding protein 3 like 1","HGNC:18856","11p11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","CREB3L2",NA,NA,"Approved symbol","CREB3L2","cAMP responsive element binding protein 3 like 2","HGNC:23720","7q33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","CREB3L4",NA,NA,"Approved symbol","CREB3L4","cAMP responsive element binding protein 3 like 4","HGNC:18854","1q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","CREBBP","Yes","Yes","Approved symbol","CREBBP","CREB binding protein","HGNC:2348","16p13.3","Yes","Yes","Approved symbol","CREBBP","CREB binding protein","HGNC:2348","16p13.3","Yes","Approved symbol","CREBBP","CREB binding protein","HGNC:2348","16p13.3","Yes"
"314","CREM",NA,NA,"Approved symbol","CREM","cAMP responsive element modulator","HGNC:2352","10p11.21","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","CRHR1",NA,NA,"Approved symbol","CRHR1","corticotropin releasing hormone receptor 1","HGNC:2357","17q21.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","CRK",NA,NA,"Approved symbol","CRK","CRK proto-oncogene, adaptor protein","HGNC:2362","17p13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","CRKL","Yes","Yes","Approved symbol","CRKL","CRK like proto-oncogene, adaptor protein","HGNC:2363","22q11.21","Yes","Yes","Approved symbol","CRKL","CRK like proto-oncogene, adaptor protein","HGNC:2363","22q11.21","Yes","Approved symbol","CRKL","CRK like proto-oncogene, adaptor protein","HGNC:2363","22q11.21","Yes"
"318","CRLF2",NA,"Yes","Approved symbol","CRLF2","cytokine receptor like factor 2","HGNC:14281","Xp22.3 and Yp11.3","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","CRLF2","cytokine receptor like factor 2","HGNC:14281","Xp22.3 and Yp11.3","Yes"
"319","CRTC1","Yes",NA,"Approved symbol","CRTC1","CREB regulated transcription coactivator 1","HGNC:16062","19p13.11","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","CRTC2",NA,NA,"Approved symbol","CRTC2","CREB regulated transcription coactivator 2","HGNC:27301","1q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","CRTC3",NA,NA,"Approved symbol","CRTC3","CREB regulated transcription coactivator 3","HGNC:26148","15q26.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","CSDE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approved symbol","CSDE1","cold shock domain containing E1","HGNC:29905","1p13.2","Yes"
"323","CSF1",NA,NA,"Approved symbol","CSF1","colony stimulating factor 1","HGNC:2432","1p13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","CSF1R","Yes","Yes","Approved symbol","CSF1R","colony stimulating factor 1 receptor","HGNC:2433","5q32","Yes","Yes","Approved symbol","CSF1R","colony stimulating factor 1 receptor","HGNC:2433","5q32","Yes","Approved symbol","CSF1R","colony stimulating factor 1 receptor","HGNC:2433","5q32","Yes"
"325","CSF2RA",NA,NA,"Approved symbol","CSF2RA","colony stimulating factor 2 receptor alpha subunit","HGNC:2435","Xp22.32 and Yp11.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","CSF2RB",NA,NA,"Approved symbol","CSF2RB","colony stimulating factor 2 receptor beta common subunit","HGNC:2436","22q12.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","CSF3R",NA,"Yes","Approved symbol","CSF3R","colony stimulating factor 3 receptor","HGNC:2439","1p34.3","Yes","Yes","Approved symbol","CSF3R","colony stimulating factor 3 receptor","HGNC:2439","1p34.3","Yes","Approved symbol","CSF3R","colony stimulating factor 3 receptor","HGNC:2439","1p34.3","Yes"
"328","CSK",NA,NA,"Approved symbol","CSK","C-terminal Src kinase","HGNC:2444","15q24.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","CSMD3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","CSNK1A1",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","CSNK1D",NA,NA,"Approved symbol","CSNK1D","casein kinase 1 delta","HGNC:2452","17q25.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","CSNK1E",NA,NA,"Approved symbol","CSNK1E","casein kinase 1 epsilon","HGNC:2453","22q13.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","CTC1",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","CTCF",NA,"Yes","Approved symbol","CTCF","CCCTC-binding factor","HGNC:13723","16q22.1","Yes","Yes","Approved symbol","CTCF","CCCTC-binding factor","HGNC:13723","16q22.1","Yes","Approved symbol","CTCF","CCCTC-binding factor","HGNC:13723","16q22.1","Yes"
"335","CTCFL",NA,NA,"Approved symbol","CTCFL","CCCTC-binding factor like","HGNC:16234","20q13.31","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"336","CTLA4",NA,"Yes","Approved symbol","CTLA4","cytotoxic T-lymphocyte associated protein 4","HGNC:2505","2q33.2","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","CTLA4","cytotoxic T-lymphocyte associated protein 4","HGNC:2505","2q33.2","Yes"
"337","CTNNA1","Yes","Yes","Approved symbol","CTNNA1","catenin alpha 1","HGNC:2509","5q31.2","Yes","Yes","Approved symbol","CTNNA1","catenin alpha 1","HGNC:2509","5q31.2","Yes",NA,NA,NA,NA,NA,NA
"338","CTNNA2",NA,NA,"Approved symbol","CTNNA2","catenin alpha 2","HGNC:2510","2p12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","CTNNA3",NA,NA,"Approved symbol","CTNNA3","catenin alpha 3","HGNC:2511","10q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"340","CTNNB1","Yes","Yes","Approved symbol","CTNNB1","catenin beta 1","HGNC:2514","3p22.1","Yes","Yes","Approved symbol","CTNNB1","catenin beta 1","HGNC:2514","3p22.1","Yes","Approved symbol","CTNNB1","catenin beta 1","HGNC:2514","3p22.1","Yes"
"341","CTNND1",NA,NA,"Approved symbol","CTNND1","catenin delta 1","HGNC:2515","11q12.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","CTRC",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","CTSD",NA,NA,"Approved symbol","CTSD","cathepsin D","HGNC:2529","11p15.5","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","CTSL1",NA,NA,"Previous symbol","CTSL","cathepsin L","HGNC:2537","9q21.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","CTSS",NA,NA,"Approved symbol","CTSS","cathepsin S","HGNC:2545","1q21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","CUL3",NA,NA,"Approved symbol","CUL3","cullin 3","HGNC:2553","2q36.2","Yes","Yes","Approved symbol","CUL3","cullin 3","HGNC:2553","2q36.2","Yes","Approved symbol","CUL3","cullin 3","HGNC:2553","2q36.2","Yes"
"347","CUL4A",NA,NA,"Approved symbol","CUL4A","cullin 4A","HGNC:2554","13q34","Yes",NA,"Approved symbol","CUL4A","cullin 4A","HGNC:2554","13q34","Yes",NA,NA,NA,NA,NA,NA
"348","CUL4B",NA,NA,"Approved symbol","CUL4B","cullin 4B","HGNC:2555","Xq24","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","CUX1",NA,"Yes","Approved symbol","CUX1","cut like homeobox 1","HGNC:2557","7q22.1","Yes","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","CXCR4",NA,"Yes",NA,NA,NA,NA,NA,NA,"Yes","Approved symbol","CXCR4","C-X-C motif chemokine receptor 4","HGNC:2561","2q22.1","Yes","Approved symbol","CXCR4","C-X-C motif chemokine receptor 4","HGNC:2561","2q22.1","Yes"
"351","CYLD","Yes","Yes","Approved symbol","CYLD","CYLD lysine 63 deubiquitinase","HGNC:2584","16q12.1","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","CYLD","CYLD lysine 63 deubiquitinase","HGNC:2584","16q12.1","Yes"
"352","CYP17A1",NA,NA,"Approved symbol","CYP17A1","cytochrome P450 family 17 subfamily A member 1","HGNC:2593","10q24.32","Yes",NA,"Approved symbol","CYP17A1","cytochrome P450 family 17 subfamily A member 1","HGNC:2593","10q24.32","Yes",NA,NA,NA,NA,NA,NA
"353","CYP1A2",NA,NA,"Approved symbol","CYP1A2","cytochrome P450 family 1 subfamily A member 2","HGNC:2596","15q24.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","CYP1B1",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","CYP21A2",NA,NA,"Approved symbol","CYP21A2","cytochrome P450 family 21 subfamily A member 2","HGNC:2600","6p21.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","CYP2A6",NA,NA,"Approved symbol","CYP2A6","cytochrome P450 family 2 subfamily A member 6","HGNC:2610","19q13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","CYP2B6",NA,NA,"Approved symbol","CYP2B6","cytochrome P450 family 2 subfamily B member 6","HGNC:2615","19q13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","CYP2C19","Yes",NA,"Approved symbol","CYP2C19","cytochrome P450 family 2 subfamily C member 19","HGNC:2621","10q23.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","CYP2C8",NA,NA,"Approved symbol","CYP2C8","cytochrome P450 family 2 subfamily C member 8","HGNC:2622","10q23.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","CYP2C9",NA,NA,"Approved symbol","CYP2C9","cytochrome P450 family 2 subfamily C member 9","HGNC:2623","10q23.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","CYP2D6","Yes","Yes","Approved symbol","CYP2D6","cytochrome P450 family 2 subfamily D member 6","HGNC:2625","22q13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","CYP2J2",NA,NA,"Approved symbol","CYP2J2","cytochrome P450 family 2 subfamily J member 2","HGNC:2634","1p32.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","CYP2R1",NA,NA,"Approved symbol","CYP2R1","cytochrome P450 family 2 subfamily R member 1","HGNC:20580","11p15.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","CYP3A4",NA,NA,"Approved symbol","CYP3A4","cytochrome P450 family 3 subfamily A member 4","HGNC:2637","7q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","CYP3A5",NA,"Yes","Approved symbol","CYP3A5","cytochrome P450 family 3 subfamily A member 5","HGNC:2638","7q22.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","CYP4F2",NA,NA,"Approved symbol","CYP4F2","cytochrome P450 family 4 subfamily F member 2","HGNC:2645","19p13.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"367","CYSLTR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approved symbol","CYSLTR2","cysteinyl leukotriene receptor 2","HGNC:18274","13q14.2","Yes"
"368","DACH1",NA,NA,"Approved symbol","DACH1","dachshund family transcription factor 1","HGNC:2663","13q21.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"369","DACH2",NA,NA,"Approved symbol","DACH2","dachshund family transcription factor 2","HGNC:16814","Xq21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"370","DAXX","Yes","Yes","Approved symbol","DAXX","death domain associated protein","HGNC:2681","6p21.32","Yes","Yes","Approved symbol","DAXX","death domain associated protein","HGNC:2681","6p21.32","Yes","Approved symbol","DAXX","death domain associated protein","HGNC:2681","6p21.32","Yes"
"371","DBH",NA,NA,"Approved symbol","DBH","dopamine beta-hydroxylase","HGNC:2689","9q34.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","DCC","Yes",NA,"Approved symbol","DCC","DCC netrin 1 receptor","HGNC:2701","18q21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","DCUN1D1",NA,NA,"Approved symbol","DCUN1D1","defective in cullin neddylation 1 domain containing 1","HGNC:18184","3q26.33","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","DCUN1D1","defective in cullin neddylation 1 domain containing 1","HGNC:18184","3q26.33","Yes"
"374","DCUN1D2",NA,NA,"Approved symbol","DCUN1D2","defective in cullin neddylation 1 domain containing 2","HGNC:20328","13q34","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"375","DDB2","Yes","Yes","Approved symbol","DDB2","damage specific DNA binding protein 2","HGNC:2718","11p11.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"376","DDIT3","Yes",NA,"Approved symbol","DDIT3","DNA damage inducible transcript 3","HGNC:2726","12q13.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"377","DDR1",NA,NA,"Approved symbol","DDR1","discoidin domain receptor tyrosine kinase 1","HGNC:2730","6p21.33","Yes",NA,"Approved symbol","DDR1","discoidin domain receptor tyrosine kinase 1","HGNC:2730","6p21.33","Yes",NA,NA,NA,NA,NA,NA
"378","DDR2","Yes","Yes","Approved symbol","DDR2","discoidin domain receptor tyrosine kinase 2","HGNC:2731","1q23.3","Yes","Yes","Approved symbol","DDR2","discoidin domain receptor tyrosine kinase 2","HGNC:2731","1q23.3","Yes","Approved symbol","DDR2","discoidin domain receptor tyrosine kinase 2","HGNC:2731","1q23.3","Yes"
"379","DDX3X",NA,"Yes","Approved symbol","DDX3X","DEAD-box helicase 3 X-linked","HGNC:2745","Xp11.4","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","DDX41",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","DDX5",NA,NA,"Approved symbol","DDX5","DEAD-box helicase 5","HGNC:2746","17q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"382","DDX6",NA,NA,"Approved symbol","DDX6","DEAD-box helicase 6","HGNC:2747","11q23.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","DEK","Yes",NA,"Approved symbol","DEK","DEK proto-oncogene","HGNC:2768","6p22.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","DHFR",NA,NA,"Approved symbol","DHFR","dihydrofolate reductase","HGNC:2861","5q14.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","DHH",NA,NA,"Approved symbol","DHH","desert hedgehog signaling molecule","HGNC:2865","12q13.12","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","DHX15",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","DIAPH1",NA,NA,"Approved symbol","DIAPH1","diaphanous related formin 1","HGNC:2876","5q31.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","DIAPH2",NA,NA,"Approved symbol","DIAPH2","diaphanous related formin 2","HGNC:2877","Xq21.33","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","DIAPH3",NA,NA,"Approved symbol","DIAPH3","diaphanous related formin 3","HGNC:15480","13q21.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"390","DICER1","Yes","Yes","Approved symbol","DICER1","dicer 1, ribonuclease III","HGNC:17098","14q32.13","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","DICER1","dicer 1, ribonuclease III","HGNC:17098","14q32.13","Yes"
"391","DIRAS3",NA,NA,"Approved symbol","DIRAS3","DIRAS family GTPase 3","HGNC:687","1p31.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392","DIRC2",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393","DIS3",NA,"Yes","Approved symbol","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","HGNC:20604","13q21.33","Yes","Yes","Approved symbol","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","HGNC:20604","13q21.33","Yes","Approved symbol","DIS3","DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease","HGNC:20604","13q21.33","Yes"
"394","DIS3L2",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","DKC1",NA,"Yes","Approved symbol","DKC1","dyskerin pseudouridine synthase 1","HGNC:2890","Xq28","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","DMXL1",NA,NA,"Approved symbol","DMXL1","Dmx like 1","HGNC:2937","5q23.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"397","DNAJB1",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","DNAJB1","DnaJ heat shock protein family (Hsp40) member B1","HGNC:5270","19p13.12","Yes"
"398","DNM2",NA,"Yes","Approved symbol","DNM2","dynamin 2","HGNC:2974","19p13.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","DNMT1",NA,NA,"Approved symbol","DNMT1","DNA methyltransferase 1","HGNC:2976","19p13.2","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","DNMT1","DNA methyltransferase 1","HGNC:2976","19p13.2","Yes"
"400","DNMT3A","Yes","Yes","Approved symbol","DNMT3A","DNA methyltransferase 3 alpha","HGNC:2978","2p23.3","Yes","Yes","Approved symbol","DNMT3A","DNA methyltransferase 3 alpha","HGNC:2978","2p23.3","Yes","Approved symbol","DNMT3A","DNA methyltransferase 3 alpha","HGNC:2978","2p23.3","Yes"
"401","DNMT3B",NA,NA,"Approved symbol","DNMT3B","DNA methyltransferase 3 beta","HGNC:2979","20q11.21","Yes","Yes",NA,NA,NA,NA,NA,NA,"Approved symbol","DNMT3B","DNA methyltransferase 3 beta","HGNC:2979","20q11.21","Yes"
"402","DNMT3L",NA,NA,"Approved symbol","DNMT3L","DNA methyltransferase 3 like","HGNC:2980","21q22.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","DOCK2",NA,NA,"Approved symbol","DOCK2","dedicator of cytokinesis 2","HGNC:2988","5q35.1","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","DOT1L",NA,"Yes","Approved symbol","DOT1L","DOT1 like histone lysine methyltransferase","HGNC:24948","19p13.3","Yes","Yes","Approved symbol","DOT1L","DOT1 like histone lysine methyltransferase","HGNC:24948","19p13.3","Yes","Approved symbol","DOT1L","DOT1 like histone lysine methyltransferase","HGNC:24948","19p13.3","Yes"
"405","DPYD","Yes","Yes","Approved symbol","DPYD","dihydropyrimidine dehydrogenase","HGNC:3012","1p21.3","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","DRD1",NA,NA,"Approved symbol","DRD1","dopamine receptor D1","HGNC:3020","5q35.2","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
